i-THERMOTEK2500,热粘性能试验仪,2,4
i-THERMOTEK 2710,薄膜热缩性能测试仪,2,4
FST-02,薄膜热缩性能测试仪,1,4
CHY-C2A,测厚仪,1,5
CHY-CA,测厚仪,1,5
i-THICKNESS 4100,测厚仪,2,5
CHY-CB,测厚仪,1,5
i-THICKNESS 4400,测厚仪,2,5
i-THICKNESS 4410,测厚仪,2,5
i-THICKNESS 4120,球面测厚仪,2,5
i-LACERA 5500,撕裂度仪,2,6
i-LACERA 5510,撕裂度仪,2,6
SLY-S1,撕裂度仪,1,6
i-FREEFALL 5100,落镖冲击试验仪,2,6
i-FREEFALL 5110,落镖冲击试验仪,2,6
BMC-B1,落镖冲击试验仪,1,6
FDI-01,落镖冲击试验仪,1,6
i-PENDUM 5200,薄膜冲击试验仪,2,6
i-PENDUM 5210,薄膜冲击试验仪,2,6
FIT-01,薄膜冲击试验仪,1,6
PROCESS 6200,泄漏与密封强度测试仪,2,7
i-LEAKTEK 6600,泄漏与密封强度测试仪,2,7
LSSD-01,泄漏与密封强度测试仪,1,7
PROCESS 6610,密封试验仪,2,7
MFY-01,密封试验仪,1,7
632,密封试验仪,1,7
i-VACUPACK 6100,真空包装残氧仪,2,7
RGT-01,真空包装残氧仪,1,7
HGA-02,顶空气体分析仪,1,8
HGA-03,顶空气体分析仪,1,8
i-GASATEK 6900,顶空气体分析仪,2,8
PROCESS 6910,顶空气体分析仪,2,8
9100,揉搓试验仪,1,9
FDT-02,揉搓试验仪,1,9
CZY-6S,持粘性测试仪,1,9
CLASSIC 920,持粘性测试仪,1,9
CZY-2S,持粘性测试仪,1,9
CZY-G,初粘性测试仪,1,9
CLASSIC 923,初粘性测试仪(药典),1,9
CLASSIC 924,斜槽滚球法初粘性测试仪,1,9
MCJ-01A,磨擦试验机,1,9
RT-01,磨擦试验仪,1,9
BLJ-02,圆盘剥离试验机,1,9
YGJ-02,胶粘带压滚机,1,9
SBG-80,D65/A 标准光源,1,9
SPS-80P,双光源配色看版台,1,9
FT-F1,雾化测试仪,1,9
TQD-G1,透气度测试仪,1,9
961,透气度测试仪,1,9
i-RESITEST 8100,蒸发残渣恒重仪,2,10
ERT-01,蒸发残渣恒重仪,1,10
MEGA 8200,蒸发残渣恒重仪,2,10
i-RESITEST 8300,蒸发残渣恒重仪,2,10
PROCESS 9200,容积与重量分析测试仪,2,11
